,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Action Details,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Player Full Name,,Team,Match Date,Opposition,,Action,Period,Time,,x,y,ex,ey,Dir
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Kick Off,1st Half,00:00,Video,94.6,40.4,94.6,40.4,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,00:00,Video,53.4,40.7,55.4,51.9,RL
Logan Moniz,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,00:01,Video,55.5,55,41.3,69.4,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Tackle,1st Half,00:12,Video,103.8,64.6,103.8,64.6,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Ground GK,1st Half,00:32,Video,115.4,50.5,115.4,50.5,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Forward,1st Half,00:34,Video,106.6,66.3,82.2,77.8,RL
Brendan Furlonge,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,00:37,Video,71.4,76.8,45,69.5,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Def Aerial,1st Half,01:09,Video,62.2,29.1,62.2,29.1,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,01:17,Video,105.4,17.8,105.4,17.8,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,01:17,Video,105.4,17.8,108.4,21.8,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Own Box Clear,1st Half,01:20,Video,108.7,22.7,108.7,22.7,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Progr Rec,1st Half,01:48,Video,104.5,21,104.5,21,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Own Box Clear,1st Half,01:48,Video,104.5,21,104.5,21,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Ground GK,1st Half,02:06,Video,113.9,43.5,113.9,43.5,RL
Karim Eljamal,,Boston Bolts U16,2023-12-10,Miami,,Side Back,1st Half,02:06,Video,112.5,55.2,112.5,36,RL
Liam Collins,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Forward,1st Half,02:10,Video,110.4,34.9,75.3,5.2,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Unsucc Side Back,1st Half,02:38,Video,105.9,12.4,96.6,56.2,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Stand Tackle,1st Half,02:48,Video,100.7,78.5,100.7,78.5,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Loss of Poss,1st Half,02:48,Video,100.7,78.5,100.7,78.5,RL
Ethan Fine,,Boston Bolts U16,2023-12-10,Miami,,Unprogr Rec,1st Half,02:48,Video,100.7,78.5,100.7,78.5,RL
Connor Seymour,,Boston Bolts U16,2023-12-10,Miami,,Headed Clear,1st Half,03:04,Video,97.1,62.1,97.1,62.1,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Headed Clear,1st Half,03:42,Video,100.5,38.2,100.5,38.2,RL
Sam Cunniffe,,Boston Bolts U16,2023-12-10,Miami,,Own Box Clear,1st Half,03:42,Video,100.5,38.2,100.5,38.2,RL
