,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,,Unsucc Att 1v1,Att 1v1 Success % ,Unsucc Dribble,Dribble Success % ,Throw in,Opp Effort on Goal,Chance Created,Unsucc cross GK,Throw in against
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,Oscar Robertson,,19,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,LB,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,50,0,0,100,,,0,0,0,0,0,0,0,0,0,0,,7,0,0,1,4,3,1,0,0,11,4,73.33,53.33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,0,,0,,0,100,3,0,0,0,0
,,4,Donovan Eaton,,40,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,CM,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,1,42.86,0,0,50,,,3,0,0,0,0,0,0,0,0,0,,7,0,1,1,5,4,1,1,2,13,5,72.22,61.11,54.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,1,,0,100,0,100,0,0,0,0,0
,,5,Dean Ezzat,,40,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,DM,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,4,0,1,44.44,0,0,100,,,0,0,1,0,0,0,1,0,0,0,0,13,0,0,0,3,1,0,0,1,16,1,94.12,23.53,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,1,,0,,0,,0,0,1,0,0
,,6,Kai Veson,,40,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,LCB,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,6,1,0,0,85.71,0,1,,,,0,0,1,0,0,1,0,0,0,0,100,14,0,4,1,14,1,3,0,0,32,2,94.12,58.82,90,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,1,,0,,0,100,0,0,0,0,0
,,7,Owen Spinney,,21,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,LB,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,25,0,0,,,,1,0,0,0,0,0,0,0,0,0,,7,0,0,0,0,6,0,0,1,7,6,53.85,46.15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,1,,0,100,0,100,5,0,0,0,0
,,8,Joseph Sousa,,21,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,CM,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,100,0,0,100,,,0,0,1,0,0,0,0,1,0,0,0,4,0,0,1,3,2,1,0,1,7,3,70,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,1,,0,,0,,0,0,0,0,0
,,9,Owen Smith,,40,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,ATT,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,100,0,0,,,,0,1,1,0,0,0,0,1,1,0,0,11,2,0,0,0,0,0,0,2,11,2,84.62,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,1,,0,,0,,0,0,1,0,0
,,10,Max Christiano,,19,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,CM,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,2,0,0,1,0,0,0,1,1,2,1,66.67,33.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,0,,0,,0,,0,0,1,0,0
,,11,Matthew DeSantis,,31,Boston Bolts U16 NALB,South Shore 2009 vs. Boston Bolts U16 NALB 2025-05-25,LW,5/25/2025 12:00:00 AM,Round 0525,5/25/2025 12:00:00 AM,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,40,0,0,100,,,0,0,1,0,0,0,1,0,0,1,0,5,0,0,0,0,2,0,1,1,5,2,71.43,28.57,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,South Shore 2009,1,,0,,0,100,0,0,1,0,0
