Team,Player,Event,Mins,Secs,X,Y,X2,Y2
NEFC,Normal,SOT,2,34,16,59,-,-
NEFC,Normal,Goal Far Post,2,34,22,64,-,-
NEFC,Normal,Shot,2,34,8,69,-,-
NEFC,Normal,SOT Inside Post,2,34,24,39,-,-
Boston Bolts U13 NALB,First Time,Goal,2,34,83,58,-,-
NEFC,Normal,SOT,2,34,10,40,-,-
NEFC,Normal,Goal,2,34,24,69,-,-
NEFC,Normal,Shot,2,34,14,68,-,-
NEFC,Volley,Goal,2,34,2,44,-,-
NEFC,FK,Goal Inside Post,2,34,27,57,-,-
NEFC,Volley,Shot,2,34,28,79,-,-
NEFC,Normal,SOT,2,34,17,35,-,-
NEFC,Normal,SOT,2,34,19,41,-,-
NEFC,Normal,SOT,2,34,11,67,-,-
NEFC,First Time,Goal Inside Post,2,34,77,54,-,-
NEFC,First Time,Blocked,2,34,82,73,-,-
NEFC,Volley,Blocked,2,34,81,41,-,-
NEFC,First Time,SOT,2,34,90,36,-,-
NEFC,First Time,Shot,2,34,87,41,-,-
NEFC,Normal,SOT,2,34,85,46,-,-
NEFC,Header,Goal,2,34,90,49,-,-
NEFC,1 on 1,SOT,2,34,97,64,-,-
NEFC,Volley,Shot,2,34,98,61,-,-
NEFC,First Time,Shot,2,34,79,58,-,-
NEFC,Volley,SOT,2,34,91,65,-,-
NEFC,Normal,SOT,2,34,76,66,-,-
NEFC,Normal,Blocked,2,34,84,30,-,-
NEFC,Normal,Blocked,2,34,88,41,-,-
NEFC,First Time,Shot,2,34,90,65,-,-
NEFC,First Time,Goal Inside Post,2,34,83,53,-,-
NEFC,1 on 1,SOT,2,34,85,62,-,-
NEFC,Header,SOT,2,34,93,50,-,-
NEFC,Normal,SOT,2,34,98,64,-,-
