Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Boston Bolts U14 MLS Next,Normal,Shot,0,0,89,50,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,78,69,-,-
BW Gottschee,Normal,SOT,0,0,14,76,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,78,65,-,-
BW Gottschee,Normal,Blocked,0,0,7,69,-,-
BW Gottschee,Normal,Blocked,0,0,22,54,-,-
BW Gottschee,Normal,SOT,0,0,15,35,-,-
BW Gottschee,Normal,Blocked,0,0,12,70,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,79,61,-,-
BW Gottschee,Normal,SOT,0,0,5,69,-,-
Boston Bolts U14 MLS Next,Normal,Goal,0,0,8,67,-,-
BW Gottschee,Header,Shot,0,0,94,53,-,-
BW Gottschee,Header,Shot,0,0,94,49,-,-
BW Gottschee,Normal,Blocked,0,0,75,33,-,-
BW Gottschee,FK,Shot,0,0,81,66,-,-
Boston Bolts U14 MLS Next,Normal,Shot,0,0,26,50,-,-
BW Gottschee,Normal,SOT,0,0,87,74,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,17,64,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,19,65,-,-
Boston Bolts U14 MLS Next,Normal,SOT,0,0,13,32,-,-
BW Gottschee,Normal,Shot,0,0,73,69,-,-
BW Gottschee,FK,Blocked,0,0,73,41,-,-
Boston Bolts U14 MLS Next,Normal,Shot,0,0,6,78,-,-
Boston Bolts U14 MLS Next,First Time,Shot,0,0,6,42,-,-
