Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Boston Bolts U13 MLS Next,1 on 1,Goal,0,0,7,49,-,-
Boston Bolts U13 MLS Next,FK,Shot,0,0,21,30,-,-
Boston Bolts U13 MLS Next,Normal,SOT,0,0,15,41,-,-
Boston Bolts U13 MLS Next,First Time,Blocked,0,0,15,63,-,-
Boston Bolts U13 MLS Next,Normal,Shot,0,0,25,61,-,-
Valeo,Normal,Blocked,0,0,87,29,-,-
Boston Bolts U13 MLS Next,Normal,Shot,0,0,10,36,-,-
Boston Bolts U13 MLS Next,First Time,SOT,0,0,21,40,-,-
Valeo,FK,Shot,0,0,72,52,-,-
Valeo,Normal,SOT,0,0,76,67,-,-
Boston Bolts U13 MLS Next,First Time,SOT,0,0,86,50,-,-
Boston Bolts U13 MLS Next,First Time,Shot,0,0,82,52,-,-
Valeo,First Time,SOT,0,0,18,41,-,-
Boston Bolts U13 MLS Next,Normal,Goal,0,0,87,28,-,-
Boston Bolts U13 MLS Next,First Time,SOT,0,0,77,48,-,-
Boston Bolts U13 MLS Next,First Time,SOT,0,0,79,52,-,-
Boston Bolts U13 MLS Next,Normal,SOT,0,0,78,64,-,-
Boston Bolts U13 MLS Next,Normal,SOT,0,0,88,28,-,-
Boston Bolts U13 MLS Next,Normal,SOT,0,0,80,65,-,-
Boston Bolts U13 MLS Next,1 on 1,Goal,0,0,96,47,-,-
Valeo,FK,Shot,0,0,26,41,-,-
Valeo,First Time,Shot,0,0,13,66,-,-
Boston Bolts U13 MLS Next,Normal,SOT,0,0,90,29,-,-
Boston Bolts U13 MLS Next,Normal,SOT,0,0,90,62,-,-
Valeo,Normal,SOT,0,0,30,48,-,-
Boston Bolts U13 MLS Next,1 on 1,Goal,0,0,95,53,-,-
Boston Bolts U13 MLS Next,Normal,SOT,0,0,77,65,-,-
Boston Bolts U13 MLS Next,Normal,SOT,0,0,88,67,-,-
Boston Bolts U13 MLS Next,First Time,SOT,0,0,90,48,-,-
Boston Bolts U13 MLS Next,Normal,Blocked,0,0,84,29,-,-
Boston Bolts U13 MLS Next,First Time,Shot,0,0,86,43,-,-
Boston Bolts U13 MLS Next,First Time,Shot,0,0,87,54,-,-
